param numNodes :=  50 ;
param numNodesOrig :=  35 ;

set SOURCE := alpha ;
set SINK := omega ;
param source := alpha ;
param sink := omega ;

set trafficker :=  1 9 15 21 30 ;
set bottoms :=  2 10 16 22 31 ;
set victims :=  3 4 5 6 7 8 11 12 13 14 17 18 19 20 23 24 25 26 27 28 29 32 33 34 35 41 42 43 44 45 46 47 48 49 50 ;
set newTrafficker :=  36 37 38 39 40 ;
set replaceTrafficker := 
1 36
9 37
15 38
21 39
30 40
;
set newBottom :=  5 8 3 13 11 19 23 27 26 28 33 34 ;
set replaceBottom:=
2 5
2 8
2 3
10 13
10 11
16 19
22 23
22 27
22 26
22 28
31 33
31 34
;

param: ARCS: cap:=
alpha 1 100
alpha 9 100
alpha 15 100
alpha 21 100
alpha 30 100
alpha 2 100
alpha 10 100
alpha 16 100
alpha 22 100
alpha 31 100
1 2 100
1 3 100
1 4 100
1 5 100
1 6 100
1 8 100
2 6 100
2 7 100
2 8 100
9 10 100
9 11 100
9 12 100
9 13 100
9 14 100
10 11 100
10 12 100
10 13 100
10 14 100
15 16 100
15 19 100
15 20 100
16 17 100
16 18 100
16 19 100
16 20 100
21 22 100
21 23 100
21 24 100
21 25 100
21 26 100
21 27 100
21 28 100
21 29 100
22 23 100
22 24 100
22 25 100
22 26 100
22 27 100
30 31 100
30 32 100
30 33 100
30 34 100
30 35 100
31 32 100
31 33 100
36 2 100
36 3 100
36 4 100
36 5 100
36 6 100
36 7 100
36 8 100
37 10 100
37 11 100
37 12 100
37 13 100
37 14 100
38 16 100
38 17 100
38 18 100
38 19 100
38 20 100
39 22 100
39 23 100
39 24 100
39 25 100
39 26 100
39 27 100
39 28 100
39 29 100
40 31 100
40 32 100
40 33 100
40 34 100
40 35 100
5 3 1
5 4 1
5 8 1
8 4 1
8 5 1
8 6 1
3 4 1
3 5 1
13 12 1
11 12 1
11 14 1
19 17 1
19 18 1
19 20 1
23 24 1
23 25 1
23 26 1
23 27 1
23 28 1
27 23 1
27 24 1
27 25 1
27 26 1
27 28 1
27 29 1
26 23 1
26 24 1
26 25 1
26 27 1
26 28 1
28 23 1
28 26 1
28 27 1
28 29 1
33 32 1
33 34 1
33 35 1
34 33 1
34 35 1
2 omega 1
10 omega 1
16 omega 1
22 omega 1
31 omega 1
3 omega 1
4 omega 1
5 omega 1
6 omega 1
7 omega 1
8 omega 1
11 omega 1
12 omega 1
13 omega 1
14 omega 1
17 omega 1
18 omega 1
19 omega 1
20 omega 1
23 omega 1
24 omega 1
25 omega 1
26 omega 1
27 omega 1
28 omega 1
29 omega 1
32 omega 1
33 omega 1
34 omega 1
35 omega 1
41 omega 1
42 omega 1
43 omega 1
44 omega 1
45 omega 1
46 omega 1
47 omega 1
48 omega 1
49 omega 1
50 omega 1
;

param: SPLIT: nodecap:=
1 1 4
2 2 3
3 3 1
4 4 1
5 5 1
6 6 1
7 7 1
8 8 1
9 9 3
10 10 2
11 11 1
12 12 1
13 13 1
14 14 1
15 15 3
16 16 2
17 17 1
18 18 1
19 19 1
20 20 1
21 21 5
22 22 3
23 23 1
24 24 1
25 25 1
26 26 1
27 27 1
28 28 1
29 29 1
30 30 4
31 31 3
32 32 1
33 33 1
34 34 1
35 35 1
36 36 3
37 37 2
38 38 2
39 39 3
40 40 3
41 41 1
42 42 1
43 43 1
44 44 1
45 45 1
46 46 1
47 47 1
48 48 1
49 49 1
50 50 1
;

param: ARCSnewOut: capnew cOut:=
1 17 100 1
1 18 100 1
1 19 100 1
1 20 100 1
15 3 100 1
15 4 100 1
15 5 100 1
15 6 100 1
15 7 100 1
15 8 100 1
1 23 100 1
1 24 100 1
1 25 100 1
1 26 100 1
1 27 100 1
1 28 100 1
1 29 100 1
21 3 100 1
21 4 100 1
21 5 100 1
21 6 100 1
21 7 100 1
21 8 100 1
9 17 100 1
9 18 100 1
9 19 100 1
9 20 100 1
15 11 100 1
15 12 100 1
15 13 100 1
15 14 100 1
9 23 100 1
9 24 100 1
9 25 100 1
9 26 100 1
9 27 100 1
9 28 100 1
9 29 100 1
21 11 100 1
21 12 100 1
21 13 100 1
21 14 100 1
21 32 100 1
21 33 100 1
21 34 100 1
21 35 100 1
30 23 100 1
30 24 100 1
30 25 100 1
30 26 100 1
30 27 100 1
30 28 100 1
30 29 100 1
1 7 100 1
15 17 100 1
15 18 100 1
alpha 36 100 4
alpha 37 100 4
alpha 38 100 4
alpha 39 100 4
alpha 40 100 4
alpha 5 100 5
alpha 8 100 5
alpha 3 100 5
alpha 13 100 5
alpha 11 100 5
alpha 19 100 5
alpha 23 100 5
alpha 27 100 5
alpha 26 100 5
alpha 28 100 5
alpha 33 100 5
alpha 34 100 5
1 41 100 2
9 41 100 2
30 41 100 2
15 42 100 2
1 43 100 2
21 43 100 2
1 44 100 2
15 44 100 2
21 44 100 2
15 45 100 2
21 45 100 2
1 46 100 2
15 46 100 2
15 47 100 2
30 48 100 2
1 49 100 2
15 50 100 2
2 3 100 1
2 4 100 1
2 5 100 1
22 28 100 1
22 29 100 1
31 34 100 1
31 35 100 1
5 6 100 2
5 7 100 2
8 3 100 2
8 7 100 2
3 6 100 2
3 7 100 2
3 8 100 2
13 11 100 2
13 14 100 2
11 13 100 2
23 29 100 2
26 29 100 2
28 24 100 2
28 25 100 2
34 32 100 2
;

param: ARCSnewIn: cIn:=
1 17 1
1 18 1
1 19 1
1 20 1
15 3 1
15 4 1
15 5 1
15 6 1
15 7 1
15 8 1
1 23 1
1 24 1
1 25 1
1 26 1
1 27 1
1 28 1
1 29 1
21 3 1
21 4 1
21 5 1
21 6 1
21 7 1
21 8 1
9 17 1
