param numNodes :=  50 ;
param numNodesOrig :=  35 ;

set SOURCE := alpha ;
set SINK := omega ;
param source := alpha ;
param sink := omega ;

set trafficker :=  1 7 15 25 31 ;
set bottoms :=  2 8 16 26 ;
set victims :=  3 4 5 6 9 10 11 12 13 14 17 18 19 20 21 22 23 24 27 28 29 30 32 33 34 35 41 42 43 44 45 46 47 48 49 50 ;
set newTrafficker :=  36 37 38 39 40 ;
set replaceTrafficker := 
1 36
7 37
15 38
25 39
31 40
;
set newBottom :=  3 9 13 12 18 20 19 17 27 29 ;
set replaceBottom:=
2 3
8 9
8 13
8 12
16 18
16 20
16 19
16 17
26 27
26 29
;

param: ARCS: cap:=
alpha 1 100
alpha 7 100
alpha 15 100
alpha 25 100
alpha 31 100
alpha 2 100
alpha 8 100
alpha 16 100
alpha 26 100
1 2 100
1 3 100
1 4 100
2 5 100
2 6 100
7 8 100
7 9 100
7 10 100
7 11 100
7 12 100
7 13 100
7 14 100
8 9 100
8 10 100
8 11 100
8 12 100
8 13 100
8 14 100
15 16 100
15 17 100
15 18 100
15 19 100
15 20 100
15 21 100
15 22 100
15 23 100
15 24 100
16 17 100
16 18 100
16 19 100
16 20 100
16 21 100
16 22 100
16 23 100
16 24 100
25 26 100
25 27 100
25 28 100
25 29 100
25 30 100
26 27 100
26 28 100
26 29 100
26 30 100
31 32 100
31 33 100
31 34 100
31 35 100
36 2 100
36 3 100
36 4 100
36 5 100
36 6 100
37 8 100
37 9 100
37 10 100
37 11 100
37 12 100
37 13 100
37 14 100
38 16 100
38 17 100
38 18 100
38 19 100
38 20 100
38 21 100
38 22 100
38 23 100
38 24 100
39 26 100
39 27 100
39 28 100
39 29 100
39 30 100
40 32 100
40 33 100
40 34 100
40 35 100
3 4 1
3 5 1
3 6 1
9 10 1
9 11 1
13 11 1
13 12 1
13 14 1
12 13 1
12 14 1
18 17 1
18 19 1
18 24 1
20 21 1
20 22 1
20 23 1
20 24 1
19 17 1
19 18 1
19 21 1
17 18 1
17 19 1
27 28 1
29 30 1
2 omega 1
8 omega 1
16 omega 1
26 omega 1
3 omega 1
4 omega 1
5 omega 1
6 omega 1
9 omega 1
10 omega 1
11 omega 1
12 omega 1
13 omega 1
14 omega 1
17 omega 1
18 omega 1
19 omega 1
20 omega 1
21 omega 1
22 omega 1
23 omega 1
24 omega 1
27 omega 1
28 omega 1
29 omega 1
30 omega 1
32 omega 1
33 omega 1
34 omega 1
35 omega 1
41 omega 1
42 omega 1
43 omega 1
44 omega 1
45 omega 1
46 omega 1
47 omega 1
48 omega 1
49 omega 1
50 omega 1
;

param: SPLIT: nodecap:=
1 1 3
2 2 2
3 3 1
4 4 1
5 5 1
6 6 1
7 7 5
8 8 3
9 9 1
10 10 1
11 11 1
12 12 1
13 13 1
14 14 1
15 15 6
16 16 4
17 17 1
18 18 1
19 19 1
20 20 1
21 21 1
22 22 1
23 23 1
24 24 1
25 25 4
26 26 3
27 27 1
28 28 1
29 29 1
30 30 1
31 31 3
32 32 1
33 33 1
34 34 1
35 35 1
36 36 2
37 37 3
38 38 4
39 39 3
40 40 2
41 41 1
42 42 1
43 43 1
44 44 1
45 45 1
46 46 1
47 47 1
48 48 1
49 49 1
50 50 1
;

param: ARCSnewOut: capnew cOut:=
1 17 100 1
1 18 100 1
1 19 100 1
1 20 100 1
1 21 100 1
1 22 100 1
1 23 100 1
1 24 100 1
15 3 100 1
15 4 100 1
15 5 100 1
15 6 100 1
1 32 100 1
1 33 100 1
1 34 100 1
1 35 100 1
31 3 100 1
31 4 100 1
31 5 100 1
31 6 100 1
7 17 100 1
7 18 100 1
7 19 100 1
7 20 100 1
7 21 100 1
7 22 100 1
7 23 100 1
7 24 100 1
15 9 100 1
15 10 100 1
15 11 100 1
15 12 100 1
15 13 100 1
15 14 100 1
15 27 100 1
15 28 100 1
15 29 100 1
15 30 100 1
25 17 100 1
25 18 100 1
25 19 100 1
25 20 100 1
25 21 100 1
25 22 100 1
25 23 100 1
25 24 100 1
15 32 100 1
15 33 100 1
15 34 100 1
15 35 100 1
31 17 100 1
31 18 100 1
31 19 100 1
31 20 100 1
31 21 100 1
31 22 100 1
31 23 100 1
31 24 100 1
1 5 100 1
1 6 100 1
alpha 36 100 4
alpha 37 100 4
alpha 38 100 4
alpha 39 100 4
alpha 40 100 4
alpha 3 100 5
alpha 9 100 5
alpha 13 100 5
alpha 12 100 5
alpha 18 100 5
alpha 20 100 5
alpha 19 100 5
alpha 17 100 5
alpha 27 100 5
alpha 29 100 5
15 41 100 2
15 42 100 2
25 42 100 2
31 42 100 2
