param numNodes :=  38 ;
param numNodesOrig :=  27 ;

set SOURCE := alpha ;
set SINK := omega ;
param source := alpha ;
param sink := omega ;

set trafficker :=  1 7 13 18 21 ;
set bottoms :=  2 8 14 22 ;
set victims :=  3 4 5 6 9 10 11 12 15 16 17 19 20 23 24 25 26 27 32 33 34 35 36 37 38 ;
set newTrafficker :=  28 29 30 31 ;
set replaceTrafficker := 
1 28
7 29
13 30
21 31
;
set newBottom :=  5 4 10 11 17 24 25 ;
set replaceBottom:=
2 5
2 4
8 10
8 11
14 17
22 24
22 25
;

param: ARCS: cap:=
alpha 1 100
alpha 7 100
alpha 13 100
alpha 18 100
alpha 21 100
alpha 2 100
alpha 8 100
alpha 14 100
alpha 22 100
1 2 100
1 3 100
1 4 100
1 5 100
2 3 100
2 4 100
2 5 100
2 6 100
7 8 100
7 9 100
7 10 100
7 11 100
7 12 100
8 11 100
8 12 100
13 14 100
13 15 100
13 17 100
14 16 100
18 19 100
18 20 100
21 22 100
21 23 100
21 24 100
21 25 100
22 23 100
22 24 100
22 25 100
22 26 100
22 27 100
28 2 100
28 3 100
28 4 100
28 5 100
28 6 100
29 8 100
29 9 100
29 10 100
29 11 100
29 12 100
30 14 100
30 15 100
30 16 100
30 17 100
31 22 100
31 23 100
31 24 100
31 25 100
31 26 100
31 27 100
5 3 1
5 4 1
4 3 1
4 5 1
10 9 1
11 9 1
11 12 1
17 15 1
17 16 1
24 23 1
24 25 1
24 26 1
24 27 1
25 23 1
25 24 1
25 26 1
2 omega 1
8 omega 1
14 omega 1
22 omega 1
3 omega 1
4 omega 1
5 omega 1
6 omega 1
9 omega 1
10 omega 1
11 omega 1
12 omega 1
15 omega 1
16 omega 1
17 omega 1
19 omega 1
20 omega 1
23 omega 1
24 omega 1
25 omega 1
26 omega 1
27 omega 1
32 omega 1
33 omega 1
34 omega 1
35 omega 1
36 omega 1
37 omega 1
38 omega 1
;

param: SPLIT: nodecap:=
1 1 4
2 2 3
3 3 1
4 4 1
5 5 1
6 6 1
7 7 4
8 8 3
9 9 1
10 10 1
11 11 1
12 12 1
13 13 3
14 14 2
15 15 1
16 16 1
17 17 1
18 18 2
19 19 1
20 20 1
21 21 4
22 22 3
23 23 1
24 24 1
25 25 1
26 26 1
27 27 1
28 28 3
29 29 3
30 30 2
31 31 3
32 32 1
33 33 1
34 34 1
35 35 1
36 36 1
37 37 1
38 38 1
;

param: ARCSnewOut: capnew cOut:=
1 9 100 1
1 10 100 1
1 11 100 1
1 12 100 1
7 3 100 1
7 4 100 1
7 5 100 1
7 6 100 1
1 15 100 1
1 16 100 1
1 17 100 1
13 3 100 1
13 4 100 1
13 5 100 1
13 6 100 1
1 23 100 1
1 24 100 1
1 25 100 1
1 26 100 1
1 27 100 1
21 3 100 1
21 4 100 1
21 5 100 1
21 6 100 1
7 23 100 1
7 24 100 1
7 25 100 1
7 26 100 1
7 27 100 1
21 9 100 1
21 10 100 1
21 11 100 1
21 12 100 1
13 19 100 1
13 20 100 1
18 15 100 1
18 16 100 1
18 17 100 1
1 6 100 1
13 16 100 1
21 26 100 1
21 27 100 1
alpha 28 100 4
alpha 29 100 4
alpha 30 100 4
alpha 31 100 4
alpha 5 100 5
alpha 4 100 5
alpha 10 100 5
alpha 11 100 5
alpha 17 100 5
alpha 24 100 5
alpha 25 100 5
21 32 100 2
21 33 100 2
7 34 100 2
13 34 100 2
1 35 100 2
7 35 100 2
21 35 100 2
1 36 100 2
13 37 100 2
1 38 100 2
8 9 100 1
8 10 100 1
14 15 100 1
14 17 100 1
5 6 100 2
4 6 100 2
10 11 100 2
10 12 100 2
11 10 100 2
25 27 100 2
;

param: ARCSnewIn: cIn:=
1 9 1
1 10 1
1 11 1
1 12 1
7 3 1
7 4 1
7 5 1
7 6 1
1 15 1
1 16 1
1 17 1
13 3 1
13 4 1
13 5 1
13 6 1
1 23 1
1 24 1
1 25 1
1 26 1
1 27 1
21 3 1
21 4 1
21 5 1
21 6 1
7 23 1
7 24 1
7 25 1
7 26 1
7 27 1
21 9 1
21 10 1
21 11 1
21 12 1
13 19 1
13 20 1
18 15 1
18 16 1
18 17 1
;

param: nodecapInc:=
5 2
4 2
10 2
11 2
17 1
24 2
25 2
;

param: r:=
1 8
2 4
3 2
4 2
5 2
6 2
7 8
8 4
9 2
10 2
11 2
12 2
13 8
14 4
15 2
16 2
17 2
18 8
19 2
20 2
21 8
22 4
23 2
24 2
25 2
26 2
27 2
;

param budgetA :=  20 ;
