param numNodes :=  34 ;
param numNodesOrig :=  25 ;

set SOURCE := alpha ;
set SINK := omega ;
param source := alpha ;
param sink := omega ;

set trafficker :=  1 7 13 18 22 ;
set bottoms :=  8 9 14 19 23 ;
set victims :=  2 3 4 5 6 10 11 12 15 16 17 20 21 24 25 29 30 31 32 33 34 ;
set newTrafficker :=  26 27 28 ;
set replaceTrafficker := 
1 26
7 27
13 28
;
set newBottom :=  11 12 16 20 24 ;
set replaceBottom:=
8 11
8 12
9 11
9 12
14 16
19 20
23 24
;

param: ARCS: cap:=
alpha 1 100
alpha 7 100
alpha 13 100
alpha 18 100
alpha 22 100
alpha 8 100
alpha 9 100
alpha 14 100
alpha 19 100
alpha 23 100
1 2 100
1 3 100
1 4 100
1 5 100
1 6 100
7 8 100
7 9 100
8 10 100
8 11 100
8 12 100
9 12 100
13 14 100
13 15 100
13 16 100
14 16 100
14 17 100
14 10 100
18 19 100
18 21 100
19 20 100
19 21 100
22 23 100
22 25 100
23 24 100
23 25 100
26 2 100
26 3 100
26 4 100
26 5 100
26 6 100
27 8 100
27 10 100
27 11 100
27 12 100
28 14 100
28 10 100
28 15 100
28 16 100
28 17 100
11 10 1
11 12 1
12 11 1
16 17 1
20 21 1
24 25 1
8 omega 1
9 omega 1
14 omega 1
19 omega 1
23 omega 1
2 omega 1
3 omega 1
4 omega 1
5 omega 1
6 omega 1
10 omega 1
11 omega 1
12 omega 1
15 omega 1
16 omega 1
17 omega 1
20 omega 1
21 omega 1
24 omega 1
25 omega 1
29 omega 1
30 omega 1
31 omega 1
32 omega 1
33 omega 1
34 omega 1
;

param: SPLIT: nodecap:=
1 1 3
2 2 1
3 3 1
4 4 1
5 5 1
6 6 1
7 7 2
8 8 2
9 9 2
10 10 1
11 11 1
12 12 1
13 13 4
14 14 3
15 15 1
16 16 1
17 17 1
18 18 2
19 19 2
20 20 1
21 21 1
22 22 2
23 23 2
24 24 1
25 25 1
26 26 2
27 27 1
28 28 3
29 29 1
30 30 1
31 31 1
32 32 1
33 33 1
34 34 1
;

param: ARCSnewOut: capnew cOut:=
1 10 100 1
1 11 100 1
1 12 100 1
7 2 100 1
7 3 100 1
7 4 100 1
7 5 100 1
7 6 100 1
7 10 100 1
7 15 100 1
7 16 100 1
7 17 100 1
13 10 100 1
13 11 100 1
13 12 100 1
13 20 100 1
13 21 100 1
18 10 100 1
18 15 100 1
18 16 100 1
18 17 100 1
7 11 100 1
7 12 100 1
13 17 100 1
18 20 100 1
22 24 100 1
alpha 26 100 4
alpha 27 100 4
alpha 28 100 4
alpha 11 100 5
alpha 12 100 5
alpha 16 100 5
alpha 20 100 5
alpha 24 100 5
7 29 100 2
18 29 100 2
22 29 100 2
13 30 100 2
1 31 100 2
13 31 100 1
1 32 100 1
7 32 100 1
13 32 100 1
22 32 100 1
1 33 100 1
13 33 100 2
22 33 100 2
7 34 100 2
9 11 100 1
16 15 100 3
;

param: ARCSnewIn: cIn:=
1 10 1
1 11 1
1 12 1
7 2 1
7 3 1
7 4 1
7 5 1
7 6 1
7 10 1
7 15 1
7 16 1
7 17 1
13 10 1
13 11 1
13 12 1
13 20 1
13 21 1
18 10 1
18 15 1
18 16 1
18 17 1
7 11 1
7 12 1
13 17 1
18 20 1
22 24 1
;

param: nodecapInc:=
11 1
12 1
16 2
20 1
24 1
;

param: r:=
1 8
2 2
3 2
4 2
5 2
6 2
7 8
8 3
9 3
10 2
11 2
12 2
13 8
14 3
15 2
16 2
17 2
18 8
19 3
20 2
21 2
22 8
23 3
24 2
25 2
;

param budgetA :=  20 ;
param budgetD :=  10 ;
